,dish_id,cross_id,genotype,date_fertilized,date_created,initial_count,check_date,fish_deaths,cumulative_deaths,remaining,survival_rate,days_since_fertilization,status,termination_date,termination_reason,responsible,in_beaker,vol_water_total,room,water_changed,vol_water_changed,date_fertilized_dt,date_created_dt,check_date_dt,termination_date_dt,mortality_rate,genotype_simple,fish_density,density_category,volume_per_fish
65,14783_4,14783,Casper_HHMI,20250121,20250218,45,20250129,4,4,41,91.11111111111111,8,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-01-29,2025-02-04,8.88888888888889,Casper,0.5625,Very High (<2mL/fish),1.7777777777777777
66,14783_4,14783,Casper_HHMI,20250121,20250218,45,20250130,1,5,40,88.88888888888889,9,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-01-30,2025-02-04,11.11111111111111,Casper,0.5625,Very High (<2mL/fish),1.7777777777777777
67,14783_4,14783,Casper_HHMI,20250121,20250218,45,20250131,0,5,40,88.88888888888889,10,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-01-31,2025-02-04,11.11111111111111,Casper,0.5625,Very High (<2mL/fish),1.7777777777777777
68,14783_4,14783,Casper_HHMI,20250121,20250218,45,20250201,0,5,40,88.88888888888889,11,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-02-01,2025-02-04,11.11111111111111,Casper,0.5625,Very High (<2mL/fish),1.7777777777777777
69,14783_4,14783,Casper_HHMI,20250121,20250218,45,20250202,12,17,28,62.22222222222222,12,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-02-02,2025-02-04,37.77777777777778,Casper,0.5625,Very High (<2mL/fish),1.7777777777777777
70,14783_4,14783,Casper_HHMI,20250121,20250218,45,20250203,8,25,20,44.44444444444444,13,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-02-03,2025-02-04,55.55555555555556,Casper,0.5625,Very High (<2mL/fish),1.7777777777777777
71,14783_4,14783,Casper_HHMI,20250121,20250218,45,20250204,5,30,15,33.33333333333333,14,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-02-04,2025-02-04,66.66666666666666,Casper,0.5625,Very High (<2mL/fish),1.7777777777777777
72,14783_5,14783,Casper_HHMI,20250121,20250218,20,20250128,0,0,20,100.0,7,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-01-28,2025-02-04,0.0,Casper,0.25,High (2-4mL/fish),4.0
73,14783_5,14783,Casper_HHMI,20250121,20250218,20,20250129,0,0,20,100.0,8,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-01-29,2025-02-04,0.0,Casper,0.25,High (2-4mL/fish),4.0
74,14783_5,14783,Casper_HHMI,20250121,20250218,20,20250130,1,1,19,95.0,9,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-01-30,2025-02-04,5.0,Casper,0.25,High (2-4mL/fish),4.0
